Måned,Total,Spart,Avkastning kr,Avkastning %,Snitt sparing,,Månedlig endring ,Månedlig sparing,Måndelig avkastning,,Årlig økning,Årlig sparing,Årlig avkastning
januar 2016,0 kr,0 kr,0 kr,,0 kr,,,,,,,,
februar 2016,,,,,,,,,,,,,
mars 2016,,,,,,,,,,,,,
april 2016,,,,,,,,,,,,,
mai 2016,,,,,,,,,,,,,
juni 2016,,,,,,,,,,,,,
juli 2016,,,,,,,,,,,,,
august 2016,,,,,,,,,,,,,
september 2016,,,,,,,,,,,,,
oktober 2016,,,,,,,,,,,,,
november 2016,,,,,,,,,,,,,
desember 2016,82 607 kr,77 100 kr,5 507 kr,"7,14%",5 931 kr,,,,,,82 607 kr,77 100 kr,5 507 kr
januar 2017,,,,,,,,,,,,,
februar 2017,,,,,,,,,,,,,
mars 2017,,,,,,,,,,,,,
april 2017,,,,,,,,,,,,,
mai 2017,,,,,,,,,,,,,
juni 2017,,,,,,,,,,,,,
juli 2017,,,,,,,,,,,,,
august 2017,,,,,,,,,,,,,
september 2017,,,,,,,,,,,,,
oktober 2017,,,,,,,,,,,,,
november 2017,,,,,,,,,,,,,
desember 2017,230 496 kr,208 138 kr,22 358 kr,"10,74%",8 326 kr,,,,,,147 889 kr,131 038 kr,16 851 kr
januar 2018,,,,,,,,,,,,,
februar 2018,,,,,,,,,,,,,
mars 2018,,,,,,,,,,,,,
april 2018,,,,,,,,,,,,,
mai 2018,,,,,,,,,,,,,
juni 2018,,,,,,,,,,,,,
juli 2018,,,,,,,,,,,,,
august 2018,,,,,,,,,,,,,
september 2018,,,,,,,,,,,,,
oktober 2018,,,,,,,,,,,,,
november 2018,,,,,,,,,,,,,
desember 2018,435 781 kr,433 138 kr,2 643 kr,"0,61%",11 706 kr,,,,,,205 285 kr,225 000 kr,−19 715 kr
januar 2019,,,,,,,,,,,,,
februar 2019,,,,,,,,,,,,,
mars 2019,552 951 kr,500 638 kr,52 313 kr,"10,45%",12 516 kr,,,,,,,,
april 2019,585 867 kr,507 638 kr,78 229 kr,"15,41%",12 381 kr,,32 916 kr,7 000 kr,25 916 kr,,,,
mai 2019,593 746 kr,551 138 kr,42 608 kr,"7,73%",13 122 kr,,7 879 kr,43 500 kr,−35 621 kr,,,,
juni 2019,610 170 kr,554 638 kr,55 532 kr,"10,01%",12 899 kr,,16 424 kr,3 500 kr,12 924 kr,,,,
juli 2019,638 926 kr,561 638 kr,77 288 kr,"13,76%",12 765 kr,,28 756 kr,7 000 kr,21 756 kr,,,,
august 2019,646 707 kr,568 638 kr,78 069 kr,"13,73%",12 636 kr,,7 781 kr,7 000 kr,781 kr,,,,
september 2019,668 581 kr,575 638 kr,92 943 kr,"16,15%",12 514 kr,,21 874 kr,7 000 kr,14 874 kr,,,,
oktober 2019,692 183 kr,575 638 kr,116 545 kr,"20,25%",12 248 kr,,23 602 kr,0 kr,23 602 kr,,,,
november 2019,700 089 kr,575 638 kr,124 451 kr,"21,62%",11 992 kr,,7 906 kr,0 kr,7 906 kr,,,,
desember 2019,699 458 kr,575 638 kr,123 820 kr,"21,51%",11 748 kr,,−631 kr,0 kr,−631 kr,,263 677 kr,142 500 kr,121 177 kr
januar 2020,716 514 kr,579 138 kr,137 376 kr,"23,72%",11 583 kr,,17 056 kr,3 500 kr,13 556 kr,,,,
februar 2020,686 861 kr,589 638 kr,97 223 kr,"16,49%",11 562 kr,,−29 653 kr,10 500 kr,−40 153 kr,,,,
mars 2020,657 420 kr,599 638 kr,57 782 kr,"9,64%",11 532 kr,,−29 441 kr,10 000 kr,−39 441 kr,,,,
april 2020,726 150 kr,614 637 kr,111 513 kr,"18,14%",11 597 kr,,68 730 kr,14 999 kr,53 731 kr,,,,
mai 2020,736 657 kr,623 137 kr,113 520 kr,"18,22%",11 540 kr,,10 507 kr,8 500 kr,2 007 kr,,,,
juni 2020,764 652 kr,633 137 kr,131 515 kr,"20,77%",11 512 kr,,27 995 kr,10 000 kr,17 995 kr,,,,
juli 2020,785 000 kr,643 137 kr,141 863 kr,"22,06%",11 485 kr,,20 348 kr,10 000 kr,10 348 kr,,,,
august 2020,794 980 kr,653 137 kr,141 843 kr,"21,72%",11 459 kr,,9 980 kr,10 000 kr,−20 kr,,,,
september 2020,824 741 kr,663 137 kr,161 604 kr,"24,37%",11 433 kr,,29 761 kr,10 000 kr,19 761 kr,,,,
oktober 2020,822 011 kr,663 137 kr,158 874 kr,"23,96%",11 240 kr,,−2 730 kr,0 kr,−2 730 kr,,,,
november 2020,872 698 kr,663 137 kr,209 561 kr,"31,60%",11 052 kr,,50 687 kr,0 kr,50 687 kr,,,,
desember 2020,899 497 kr,673 137 kr,226 360 kr,"33,63%",11 035 kr,,26 799 kr,10 000 kr,16 799 kr,,200 039 kr,97 499 kr,102 540 kr
januar 2021,944 111 kr,703 137 kr,240 974 kr,"34,27%",11 341 kr,,44 614 kr,30 000 kr,14 614 kr,,,,
februar 2021,987 385 kr,713 137 kr,274 248 kr,"38,46%",11 320 kr,,43 274 kr,10 000 kr,33 274 kr,,,,
mars 2021,1 017 190 kr,713 137 kr,304 053 kr,"42,64%",11 143 kr,,29 805 kr,0 kr,29 805 kr,,,,
april 2021,1 035 000 kr,713 137 kr,321 863 kr,"45,13%",10 971 kr,,17 810 kr,0 kr,17 810 kr,,,,
mai 2021,1 052 931 kr,713 137 kr,339 794 kr,"47,65%",10 805 kr,,17 931 kr,0 kr,17 931 kr,,,,
